object,min_time,max_time,min_flux,max_flux,error1,masked_error1,error2,masked_error2,error3,masked_error3,mean,combined_amplitude,amplitude1,frequency1,hshift1,amplitude2,frequency2,hshift2,amplitude3,frequency3,hshift3,normalized_error1,normalized_masked_error1,normalized_error2,normalized_masked_error2,normalized_error3,normalized_masked_error3,normalized_mean,normalized_combined_amplitude,normalized_amplitude1,normalized_frequency1,normalized_hshift1,normalized_amplitude2,normalized_frequency2,normalized_hshift2,normalized_amplitude3,normalized_frequency3,normalized_hshift3
239,131.51229967616382,164.983927954323,11583.389,11609.039,24.016460406746358,21.771331288107895,23.688744781264873,23.98748839927263,23.55350404352488,24.559354368409196,11595.147943359376,5.579782431332667,4.8859533546744025,0.40036071234835735,15.6938108894974,2.4788700026970227,0.20018035617417868,31.3876217789948,1.0567096605423383,0.600541068522536,10.462540592998266,16.23885078923893,0.5189540739655106,15.871144739520455,0.5736650615668555,16.168513063273583,0.6030049128195143,0.45843833759747143,0.2175353774398577,0.19048551090347465,13.400724940903233,0.4688690600611707,0.09664210536829951,6.7003624704516165,0.9377381201223414,0.041197257720946526,20.10108741135485,0.3125793733741138
240,131.5125177357986,164.98405607054883,8231.835,8297.265,26.007510504352272,68.3337912121933,23.361174434031035,73.98199521167727,25.540412476623953,95.7096637799819,8264.897133182114,19.149008305317547,12.29455822138476,0.5978177812318537,10.510201443377204,11.268532048112533,0.19927259374395123,31.53060433013161,9.41002352275283,0.39854518748790246,15.765302165065805,25.784815661098648,1.0616040749966669,23.82431880088561,1.154894456986826,23.213064220712614,1.152208567848049,0.5053054131455523,0.29266404256942474,0.18790399237940855,20.009880781697316,0.31400413504345837,0.17222271202984082,6.669960260565771,0.9420124051303751,0.14381818008180938,13.339920521131543,0.47100620256518755
241,131.51238992877188,164.98396882378438,9884.229,9935.367,14.822145220304412,22.03546823954868,13.679668636996794,22.83717271156666,13.446917444767248,21.11277324971438,9909.197505780347,15.891696282270821,13.416040324544243,0.19748067257502397,31.816710087376123,8.175860382908558,0.39496134515004794,15.908355043688061,2.389807468673859,0.7899226903000959,7.954177521844031,17.457004685476527,0.5938769261336067,17.577302334437285,0.7269405762863679,18.086079180808227,0.7647268305683028,0.48825737769070077,0.31076100516779237,0.2623497267109396,6.609989912335045,0.9505589857942744,0.15987837582440506,13.21997982467009,0.4752794928971372,0.04673251728017952,26.43995964934018,0.2376397464485686
242,131.51274603509228,164.98411236876564,10773.67,10882.394,13.82699155057229,27.25405147444478,10.152917367359578,19.180895527177444,10.744806064674373,28.570951061500423,10832.2499248366,31.538639455274748,20.939711273360636,0.4019332479459172,15.632409956851916,18.734100266201846,0.8038664958918345,7.816204978425958,14.326470524661772,0.6028998719188758,10.421606637901277,17.960668947950335,0.5791766854158804,17.325800374838835,0.6531240684905987,18.289096628620662,0.8651181133700672,0.5387947908152859,0.2900798301688192,0.19259511490894932,13.45325498368096,0.46703829778006906,0.1723087843181066,26.90650996736192,0.23351914889003453,0.13176916342906578,20.179882475521442,0.3113588651867127
243,131.5128172400582,163.5333100792268,13443.609,13576.592,26.279664796071888,100.61679078580963,33.176028484832706,164.17056439398704,35.10891888997338,216.64557316966307,13512.07634700521,43.41393129187998,28.062233577533128,0.40036371395340237,15.693693229928613,27.586681793714142,0.20018185697670118,31.387386459857225,18.337269820461522,0.6005455709301036,10.46246215328574,31.517635260788186,1.2373150648201416,37.16261492896156,1.7503317023007183,36.27873109045589,1.823060046604307,0.5148578916493677,0.3264622642885176,0.21102121006093333,12.81984343570786,0.49011404380171,0.20744517565188114,6.40992171785393,0.98022808760342,0.1378918344484746,19.22976515356179,0.32674269586780663
244,169.7656133903074,258.4673717477417,9184.34,9202.342,18.69360251126006,4.645804495869882,18.786742865765117,5.566467672399272,19.102039909351227,6.58962493535305,9192.664394709132,1.4570984477522186,1.0297611965267446,0.2428144391431194,25.876489591610152,0.8772054279416436,0.4856288782862388,12.938244795805076,0.5415149136999371,0.1618762927620796,38.81473438741523,18.655304375502283,0.23470799012172774,19.007150183818432,0.314842731525814,18.92608652468233,0.3594205602051723,0.46241499328594843,0.08094092032841826,0.057202599518204715,21.538067706568913,0.29172465203381603,0.04872822063890811,43.07613541313783,0.14586232601690802,0.03008081955893372,14.358711804379277,0.437586978050724
245,132.43195551927784,164.9839018626226,8424.065,8579.017,28.13224801966326,170.97775606879367,28.138901721282007,174.97957373743066,32.44032687293291,242.00484149926567,8496.762031887756,52.66720544073796,36.96864802310958,0.06536558932418467,96.12374602816999,27.401746707724186,0.196096767972554,32.04124867605667,25.61831121768296,0.26146235729673867,24.030936507042497,24.23926454619931,0.8949300196609673,22.752777741433864,0.9451232577601085,26.995605554742262,1.1973000534556149,0.46915839671482096,0.3398936795958632,0.2385812898388517,2.127777156381968,2.9529339049129546,0.17684022605532232,6.383331469145903,0.9843113016376516,0.1653306263725739,8.511108625527871,0.7382334762282386
246,131.51203890456236,164.9836599657865,13928.131,14121.5,16.49293711288793,74.94971707281304,22.877530837637845,170.79090745336208,23.38842928762668,198.10194849774018,14022.763475190839,64.22402064396415,44.69418224783862,0.5867890252668402,10.707741686754161,39.09598619701885,0.1955963417556134,32.123225060262484,24.467504248611696,0.3911926835112268,16.061612530131242,17.068378441314124,0.4069712880822761,26.811263650821243,1.026872461861906,27.357061130572585,1.1528540490967623,0.4893880362976485,0.33213193761132315,0.23113416446192758,19.640779896616756,0.3199050821939053,0.20218331892401956,6.546926632205585,0.9597152465817159,0.1265327133543206,13.09385326441117,0.47985762329085796
247,131.51254437325406,164.9839355203876,14559.79,14642.842,22.334342428145717,73.43340465546771,27.188198468491475,112.90670981907432,25.372007981773514,113.2544497439754,14596.323587842138,29.58812173884232,23.511486981582102,0.391443636816749,16.05131547998826,15.223811798336655,0.1957218184083745,32.10263095997652,9.534279326528805,0.5871654552251235,10.700876986658841,21.353950687261904,0.6891370103003327,27.760168724883894,1.2123243958001342,28.49551615915857,1.483354643680648,0.4398881163865775,0.3562601952853927,0.28309356766341803,13.102163079949891,0.4795532820679573,0.18330457783481088,6.551081539974946,0.9591065641359146,0.11479891304879887,19.653244619924838,0.31970218804530487
248,132.49310547098867,164.9837502430746,11916.324,12021.501,20.975648106878616,71.23748811554076,21.525360508120674,87.5167328820865,16.677878108097925,52.76189741142839,11966.10983934536,22.95253993106239,15.971673652261927,0.20539741106137485,30.590382199618407,12.625102192891385,0.06846580368712496,91.77114659885521,10.598656738082655,0.27386321474849984,22.942786649713803,21.069381538664736,0.6479729328250634,22.68863976151071,0.8805272999580044,25.82108939872899,1.2313191932071734,0.47335291314029687,0.21822774875745132,0.15185519317210008,6.6734943199012475,0.9415135468748796,0.1200367208885158,2.224498106633749,2.824540640624639,0.10076971902680897,8.897992426534996,0.7061351601561597
249,131.51195812030346,164.98355671168247,11335.255,11407.22,15.519474408626651,33.90260629143547,9.49094082157268,14.563157629617162,10.075166596733055,17.3493464626457,11368.665631926953,26.518656965876687,23.153626796560097,0.38725161137709296,16.225072078683297,11.61939065450603,0.19362580568854648,32.450144157366594,5.669082311753134,0.5808774170656394,10.8167147191222,40.55799350778467,2.245291130345267,39.27881418371177,2.3468900346757553,40.39635853794118,2.572870968077518,0.4642622375731659,0.3684938090165584,0.32173454869116996,12.961930489878755,0.4847414752058556,0.16145891272849308,6.4809652449393775,0.9694829504117112,0.0787755479990707,19.442895734818133,0.3231609834705704
