time,flux,object
120.94750264227332,1035057.06,2
120.96793688250182,1035113.6,2
120.98837122278928,1035114.1,2
121.00880546301778,1035097.9,2
121.02923990329872,1035090.7,2
121.0496742435862,1035101.6,2
121.07010858381544,1035196.5,2
121.09054292409564,1035173.75,2
121.11097726438312,1035105.0,2
121.13141160472878,1035074.0,2
121.1518458450082,1035080.2,2
121.17228028529644,1035042.75,2
121.1927146255839,1035088.6,2
121.21314886592154,1035087.4,2
121.23358330626796,1035041.3,2
121.25401764655544,1035058.8,2
121.27445188689308,1034646.3,2
121.45836105004128,1035143.3,2
121.4787952903862,1035015.7,2
121.49922963079008,1035189.4,2
121.51966397112848,1035061.1,2
121.54009841153312,1035057.1,2
121.560532751937,1035071.0,2
121.58096699233285,1035094.9,2
121.60140143273748,1035150.0,2
121.62183577308316,1035203.25,2
121.642270013479,1035087.7,2
121.66270435388287,1035193.44,2
121.68313879434572,1035163.06,2
121.70357303474157,1035161.8,2
121.72400737514543,1035127.94,2
121.74444181555008,1035062.2,2
121.76487605600414,1035305.4,2
121.78531039640802,1035196.3,2
121.8057447368119,1035157.94,2
121.82617907726672,1035159.9,2
121.8466134176706,1035224.3,2
121.86704775813268,1035114.44,2
121.88748209852928,1035166.0,2
121.90791643899138,1035131.06,2
121.92835077945348,1035138.0,2
121.94878501984932,1035087.6,2
121.96921946031216,1035269.75,2
121.98965380077424,1035205.9,2
122.01008804117735,1035138.6,2
122.03052248163294,1035190.56,2
122.05095682209505,1035187.56,2
122.07139116254984,1035134.6,2
122.09182540301116,1035194.3,2
122.1122598434158,1035152.9,2
122.13269418392883,1035211.56,2
122.15312842433195,1035249.06,2
122.1735628647948,1035207.0,2
122.19399720524962,1035130.6,2
122.21443144571094,1035207.56,2
122.23486578617305,1035356.9,2
122.2553002266286,1035176.0,2
122.27573446708992,1035214.3,2
122.29616880761024,1035175.3,2
122.3166032480658,1035162.5,2
122.33703748852712,1035126.7,2
122.35747182898922,1035197.8,2
122.37790616944405,1035133.3,2
122.39834060990688,1035114.3,2
122.4187748503682,1035178.75,2
122.43920919082302,1035097.7,2
122.45964363128589,1035091.8,2
122.4800778717472,1035051.7,2
122.500512212202,1035067.2,2
122.52094645266334,1035151.5,2
122.5413808931844,1035257.2,2
122.5618152336392,1035088.25,2
122.5822495741013,1035254.3,2
122.6026839145634,1035154.4,2
122.6231182550182,1035338.5,2
122.64355259548029,1035326.3,2
122.6639868359416,1035239.2,2
122.6844212763972,1035376.6,2
122.70485561685928,1035312.3,2
122.7252898573206,1035201.56,2
